"","DMD_1_H","DMD_2_H","DMD_3_H","DMD_4_H","DMD_5_H","DMD_6_H","DMD_7_H","DMD_8_H","DMD_9_H","DMD_10_H","DMD_11_H","DMD_12_H","NOR_1_H","NOR_2_H","NOR_3_H","NOR_4_H","NOR_5_H","NOR_6_H","NOR_7_H","NOR_8_H","NOR_9_H","NOR_10_H","NOR_11_H","NOR_12_H"
"ENSG00000135535",2939,2517.6,2533.6,3523.8,4488.6,3954.7,2096.6,3738.1,3308.3,5667.5,3036.5,3178.2,2921.9,3864.8,2800.3,3855.7,4573.5,2442.4,3711.5,2110.9,3648.7,3168.7,2562.4,142.1
"ENSG00000024862",1539,1546.3,1078,1803.8,1848.1,1107.6,897.8,1355,933.7,1381.2,1026.1,970.9,1230.3,2047.7,1262.2,1250.2,1789.5,1512.1,1861.7,992.3,1458.2,983.8,1392.7,38.5
"ENSG00000197635",151.6,228,237.6,22.4,140.8,183.2,40.1,182.9,229.5,162.7,253.9,281.2,32.9,50,356.4,32.1,164.8,245.9,16.2,156.2,66.7,39.8,150.9,2.1
"ENSG00000188021",1169.3,1433.4,2345.9,2729.4,2607.2,2386,1544.2,1768.8,2133.2,2854.1,2144.3,2465.5,2725,3378,2164.1,2875.7,3186.8,2179.4,2489.2,888.7,1998.9,3676.4,2937,47.4
"ENSG00000111802",1309.2,1116.8,1443.2,2149,2035.5,1409,989.8,1562.5,1593.9,1821.8,1174.4,1523.1,962.9,1505.7,1255.6,1240.5,1394.1,1118.2,1579.1,716.8,1102.1,1645.7,1056.7,36.3
"ENSG00000073578",12038.1,18638.5,16117.9,26922.9,23715.7,15651.7,17069.3,17800.8,14485.9,16467.1,18787.5,15913.9,23123.8,23270.2,29617.1,23505.3,11370,22753.3,25741.1,32910.2,28340.1,19433.2,22328.5,832.9
"ENSG00000177169",3965.8,5369.1,2902.3,3555.5,3886.6,2654.9,3374.8,4893.1,3213.6,3767.2,3682.1,3106,4480.9,4875.9,5181.5,4873,6066,5663.9,5261,9441.4,6200,3137.7,4803.4,119.2
"ENSG00000105258",5351.8,7227.45,6221.6,7984.75,6477.9,8861,5623,7023.7,6311.6,4453.8,8915.15,8021.8,10421.3,9007.25,15464.8,8413.9,10171.2,16415.55,10569.05,10258.85,14882.9,9872.95,11933.25,323.75
"ENSG00000130826",2077,2382,2625.9,4317,3565.4,2378.9,2733.5,2940.9,1909.8,3810.8,2274.6,2555.8,2822.7,3186,2232.5,2971.3,2979.4,1902.6,2949.7,2772.9,3316.3,3223.8,2167.9,76.4
"ENSG00000154978",2603.1,2686.6,3123,4316.6,4444,2729.5,2247.5,2433.2,3148.1,3070.1,3705.9,3827.4,2219.1,2505.9,2842.8,2729.2,2753.1,3437.1,3707.1,3077.1,2266.2,2905,3496.8,120.4
